"filename", "language", "C++", "XML", "Log", "comment", "blank", "total"
"e:\Programming\TheSocialNetwork\TheSocialNetwork\AppClass.cpp", "C++", -404, 0, 0, -75, -7, -486
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\ActivityClass.hpp", "C++", -21, 0, 0, 0, -4, -25
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\ChronoClass.hpp", "C++", -26, 0, 0, 0, -6, -32
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\CommentClass.hpp", "C++", -32, 0, 0, 0, -5, -37
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\EntityClass.hpp", "C++", -19, 0, 0, 0, -2, -21
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\HelperClass.hpp", "C++", -19, 0, 0, -1, -4, -24
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\PageClass.hpp", "C++", -36, 0, 0, 0, -6, -42
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\PostClass.hpp", "C++", -62, 0, 0, 0, -5, -67
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\UserClass.hpp", "C++", -48, 0, 0, 0, -3, -51
"e:\Programming\TheSocialNetwork\TheSocialNetwork\TheSocialNetwork.vcxproj", "XML", 0, -146, 0, 0, 0, -146
"e:\Programming\TheSocialNetwork\TheSocialNetwork\x64\Debug\TheSocialNetwork.log", "Log", 0, 0, -2, 0, -1, -3
"Total", "-", -667, -146, -2, -76, -43, -934